管理組織名稱,地址門牌,使照號碼,核准日期,核准文號,證書編號
站前旺角大廈管理委員會,桃園區大同路24號,(88)桃縣工建使字第桃00504號,088/11/19,'8800251145,'880202
百代甄品,桃園區大同路71號3樓之3,(89)桃縣工建使字第桃00654號,089/11/20,'8900236428,'
新晶品社區管理委員會,桃園區大有里10鄰民富十三街6號4樓,(102)桃縣工建使字第桃01401號,103/04/25,'1030027064,'103088
杜拜美學公寓大廈管理委員會,桃園區大有里11鄰大有路346號(管理室),(103)桃縣工建使字第桃00765號,104/01/29,'1040005543,'104003
一品公寓大廈管理委員會,桃園區大有里8鄰大有路457號,(104)桃市都建使字第桃00447號,104/07/27,'1040042474,'104023
伊勢丹名人道,桃園區大有路146號,(83)桃縣工建使字第00089號,086/11/14,'8600224374,'860301
中日西武公寓大廈管理委員會,桃園區大有路163號,(85)桃縣建使字第00016號,086/05/07,'8600084276,'860138
加茂景觀大廈社區管理委員會,桃園區大有路181號1樓,(86)桃縣建使字第00134號,087/10/21,'8700214162,'870225
都市生活大廈管理委員會,桃園區大有路218號,(83)桃縣建使字第00219號,093/09/23,'0930248123,'930131
大有社區管理負責人,桃園區大有路300巷5號等,(95)桃縣工建使字第桃00438號,096/02/07,'0960048179,'
朝揚公寓管理負責人,桃園區大有路300巷7號等,(95)桃縣工建使字第桃00624號,096/02/02,'09600,'
巴黎學院社區管理委員會,桃園區大有路419號1樓,(91)桃縣工建使字第桃01716號,092/09/08,'0920206365,'920103
布洛瓦城社區管理委員會,桃園區大有路430巷1-20號,(94)桃縣工建使字第桃00484號,095/07/21,'0950213158,'950145
麗悅社區管理委員會,桃園區大有路458號2樓,(103)桃縣工建使字第桃01431號,105/11/10,'1050065115,'105036
羅丹一期管理委員會,桃園區大有路496號,(82)桃縣建使字第00307號,087/07/18,'8700141417,'870150
冠倫大國,桃園區大有路502號等,(84)桃縣建使字第00125號,086/06/20,'8600116890,'860171
大台北都會城社區管理委員會,桃園區大有路509號,(80)桃縣建使字第00077號,087/03/17,'8700050989,'870053
風尚二期管理委員會,桃園區大有路519號等,(93)桃縣工建使字第桃00852號,094/03/04,'0940055584,'
冠倫大國社區管理委員會,桃園區大有路530號,(84)桃縣工建使字第00125號,086/06/30,'8600116890,'860171
現代名門大廈管理委員會,桃園區大有路539號,(82)桃縣工建使字第0506號,100/05/09,'1000176299,'100088
羅丹二期大廈管理委員會,桃園區大有路555號1樓,(82)桃縣建使字第00497號,086/07/19,'8600137301,'860196
長隆賓市大樓管理委員會,桃園區大有路563號,(84)桃縣建使字第00185號,085/11/29,'8500286023,'860071
台北公園都市管理委員會,桃園區大有路630號,(82)桃縣建使字第00324號,086/04/30,'8600077521,'860121
台北東京社區管理委員會,桃園區大有路650號之1,(86)桃縣建使字第00237號,090/09/21,'9000175692,'900106
全球鳳凰城社區管理委員會,桃園區大有路660號,(81)桃縣建使字第00279號,085/11/07,'8500255963,'900125
藝集社區管理委員會,桃園區大有路726號,(104)桃市都建使字第桃01563號,105/11/01,'1050062808,'105035
翰霖麗緻社區管理委員會,桃園區大有路750號,(96)桃縣工建使字第桃01481號,098/12/02,'0980474868,'980240
御品苑管理委員會,桃園區大明街56巷1號,(101)桃縣工建使字第桃00034號,101/07/12,'1010172963,'101122
美力城邦極美館社區管理委員會,桃園區大林里15鄰樹仁三街15巷22號,(103)桃縣工建使字第桃00424號,103/08/12,'1030056757,'103185
新站大亨管理負責人,桃園區大林里16鄰大原路83巷10號,(103)桃縣工建使字第桃00594號,104/06/12,'1040033678,'104020
桃鶯別墅管理負責人,桃園區大林里32鄰桃鶯路276-1號等,(96)桃縣工建使字第桃01473號,099/02/26,'0990072757,'990034
美力城邦艾美館社區管理委員會,桃園區大林里8鄰樹仁三街15巷101號,(102)桃縣工建使字第桃00868號,102/11/28,'1020295144,'112265
富爺公寓大廈管理委員會,桃園區大林路100號等,(91)桃縣工建使字第桃01530號,092/09/08,'0920205999,'920102
景美華廈管理負責人,桃園區大林路20-2號等,(100)桃縣工建使字第桃00291號,100/09/27,'1000392265,'100193
新站E生活社區管理委員會,桃園區大林路35號,(92)桃縣工建使字第桃01031號,092/12/12,'0920286680,'920152
新站首邑名邸公寓大廈管理委員會,桃園區大原路20-1巷13號,(94)桃縣工建使字第桃00401號,096/10/11,'0960342985,'096206
新站首邑首邑特區公寓大廈管理委員會,桃園區大原路20-2巷26號,(94)桃縣工建使字第桃00401號,094/10/24,'0940298497,'940197
新站首邑首善特區公寓大廈,桃園區大原路20巷37號,(94)桃縣工建使字第桃00265號,094/10/24,'0940298497,'
馥邦社區管理委員會,桃園區大原路3號等77戶,(102)桃縣工建使字第桃00470號,104/07/01,'1040037056,'104022
大原別墅管理負責人,桃園區大原路79號,(98)桃縣工建使字第桃01128號,102/04/08,'1020084641,'102062
梵谷星空社區管理委員會,桃園區大連二街161號(管理室),(99)桃縣工建使字第桃00671號,100/03/28,'1000115646,'100062
大睦澄品管理委員會,桃園區大連二街166號,(103)桃縣工建使字第桃00458號,105/03/11,'1050012360,'105007
三閤院,桃園區大連二街274巷3號,(89)桃縣工建使字第桃00355號,090/05/23,'9000099276,'900058
天地賞社區管理委員會,桃園區大連二街47巷1號,(88)桃縣工建使字第桃00191號,089/03/01,'8900039325,'890038
輕井花道管理委員會,桃園區大連三街47號,(94)桃縣工建使字第桃01323號,095/04/28,'0950122260,'950078
中正名人巷社區管理委員會,桃園區大連三街67巷2號,(88)桃縣工建使字第桃00793號,088/11/10,'8800245059,'880196
天空的院子,桃園區大連四街12-1號等,(97)桃縣工建使字第桃02110號,098/12/30,'0980562704,'980262
璟都CASA社區管理委員會,桃園區大連四街16-20號,(96)桃縣工建使字第桃01365號,098/05/25,'0980196682,'980075
西華風采一期社區,桃園區大連四街42號等,(94)桃縣工建使字第桃01407號,096/01/30,'0960035722,'096038
鉅玉名門社區,桃園區大華二街16號,1.85桃縣工建使字第其34號,086/05/07,'8600067570,'860110
益展城心社區管理委員會,桃園區大華五街62號,(101)桃縣工建使字第桃00495-02號,104/06/12,'1040033735,'104021
路易崴登管理委員會,桃園區大業路一段108號,(93)桃縣工建使字第桃01548號,094/08/31,'0940240957,'940150
皇家花園社區管理委員會,桃園區大業路一段10號,(91)桃縣工建使字第桃00528號,094/04/21,'0940106249,'
一品國硯社區管理委員會,桃園區大業路一段115號7樓,(100)桃縣工建使字第桃01447號,101/08/22,'1010209774,'101156
昭揚君典社區管理委員會,桃園區大業路一段121巷2-20號,(100)桃縣工建使字第桃01173號,100/12/21,'1000533728,'100254
民富新廈管理負責人,桃園區大業路一段130號等,(94)桃縣工建使字第桃01472號,095/04/28,'0950122456,'
石清之水社區管理委員會,桃園區大業路一段137~151號,(91)桃縣工建使字第桃01336號,092/11/10,'0920259403,'920134
臻善美A區,桃園區大業路一段159號4樓,(92)桃縣工建使字第桃00775號,092/08/22,'0920193493,'920097
臻愛歐洲社區管理委員會,桃園區大業路一段162號,(94)桃縣工建使字第桃00356號,094/11/11,'0940317828,'940215
大境人文行館社區管理委員會,桃園區大業路一段171巷9號,(96)桃縣工建使字第桃00172號,099/06/11,'0990223843,'990134
傑仕堡社區,桃園區民富八街28巷1弄23號,(85)桃縣工建使字第00012號,088/07/26,'8600237440,'860322
新宿社區管理委員會,桃園區大業路一段336號,(95)桃縣工建使字第桃02028號,096/05/10,'0960152482,'096098
竹城輕井澤社區管理委員會,桃園區大業路一段341號等,(95)桃縣工建使字第桃00300號,095/09/19,'0950278200,'
晶城建設管理負責人,桃園區大業路一段373號等,(96)桃縣工建使字第桃01079號,096/08/01,'0960256698,'
成家公寓大廈管理負責人,桃園區大業路一段376號,(93)桃縣工建使字第桃01706號,102/05/01,'1020106579,'102085
晶城建設管理負責人,桃園區大業路一段377-1號等,(96)桃縣工建使字第桃01097號,096/08/01,'0960256699,'
聯邦商業銀行股份有限公司大業公寓大廈,桃園區大業路一段388號1樓,(98)桃縣工建使字第桃00977號,102/06/27,'1020159119,'102145
花開富貴管理委員會,桃園區大業路一段40號,(84)桃縣建使字第00160號,085/12/27,'8500289196,'910125
五福豪華別墅,桃園區大業路一段424巷2弄1號等,(91)桃縣工建使字第桃00962號,092/04/16,'0920082968,'920040
昇捷麗舍社區管理委員會,桃園區大業路一段426號,(96)桃縣工建使字第桃01071號,097/01/15,'0970016758,'970009
城市公爵,桃園區大業路一段445號2樓,(83)桃縣建使字第00238號,089/08/07,'8900157183,'890138
點精品大廈,桃園區大業路一段45號等,(96)桃縣工建使字第桃00075號,097/07/10,'0970222943,'970113
博市大廈,桃園區大業路一段58-78號,(86)桃縣建使字第00301號,087/09/22,'8700191368,'870206
愷悅假期社區管理委員會,桃園區大業路一段75號,(85)桃縣工建使字第其100號,087/06/17,'8700118621,'870116
人本新觀公寓大廈,桃園區大業路一段97號(管理室),(92)桃縣工建使字第桃01851號,093/03/24,'0930068043,'930036
朝陽社區管理委員會,桃園區大業路二段121號4樓,(92)桃縣工建使字第桃00058號,092/06/02,'0920120629,'920056
大業宏圖管理委員會,桃園區大業路二段147號,(97)桃縣工建使字第桃00441號,098/09/03,'0980342909,'980160
尊悅社區管理委員會,桃園區大業路二段169號6樓,(99)桃縣工建使字第桃01118號,100/01/20,'1000029019,'100011
竹城橫濱社區管理委員會,桃園區大業路二段196號,(100)桃縣工建使字第桃00690號,100/12/14,'1000522969,'100250
竹城金閣社區管理委員會,桃園區大業路二段226號等,(97)桃縣工建使字第桃00169號,097/12/11,'0970421261,'970210
EQ城堡管理委員會,桃園區大業路二段227號(管理室),(88)桃縣工建使字第桃01710號,089/01/26,'8900019241,'890024
大葉藝墅家社區,桃園區大業路二段253巷5號,(94)桃縣工建使字第桃00573號,094/11/01,'0940307387,'940204
再登美景管理負責人,桃園區大業路二段264之1-5號,,104/06/04,'1040031230,'104017
長安名流大廈,桃園區大業路二段266巷1號,(80)桃縣建使字第00197號,089/07/02,'8900129191,'890124
慶暘世居,桃園區大業路二段66號,(85)桃縣建使字第00196號,090/11/19,'9000234879,'900131
大邑金鑽社區管理負責人,桃園區大業路二段80號,(98)桃縣工建使字第桃00902號,099/12/29,'0990581586,'990313
U生活社區管理委員會,桃園區大業路二段85號等,(90)桃縣工建使字第桃01081號,091/03/29,'0910066443,'910021
瓏豐建設甲公寓大廈管理負責人,桃園區大德一街55號,(101)桃縣工建使字第桃01204號,102/01/30,'1020030026,'102021
福慶天地管理委員會,桃園區大德一街80、90號等,(82)桃縣工建使字第其411號,095/12/04,'0950364641,'
登峰樓社區,桃園區大德二街27號,(83)桃縣工建使字第桃0450號,086/09/02,'8600171230,'860243
綠景莊園公寓大廈管理負責人,桃園區大興西路2段186號,(97)桃縣工建使字第01582號,098/02/02,'0980090551,'
醫茂社區,桃園區大興西路2段76巷1-12號等,(95)桃縣工建使字第桃00544號共2筆使照,095/07/04,'0950192183,'095131
大興社區管理負責人,桃園區大興西路一段143號,(94)桃縣工建使字第桃02496號,101/03/08,'1010059554,'101033
皇家宮庭社區管理委員會,桃園區大興西路一段151巷2弄1號,(76)桃縣工建使字第01782號,087/01/02,'8600253315,'860344
新四合苑社區管理委員會,桃園區大興西路一段166號,(86)桃縣建使字第00117號,086/11/17,'8600226644,'860303
大亨福第公寓大廈管理委員會,桃園區大興西路一段186號,(83)桃縣工建使字第00030號,086/10/24,'8600209948,'860288
中悅登峰社區管理委員會,桃園區大興西路一段194號,(93)桃縣工建使字第桃01194號,094/04/14,'0940097667,'940051
捷寶君品社區管理委員會,桃園區大興西路一段260號,(104)桃市都建使字第桃01372號,105/11/15,'1050066168,'105037
印象羅芙公寓大廈管理委員會,桃園區大興西路一段266號,(104)桃市都建使字第桃01572號,106/03/22,'1060016027,'106008
天下大觀社區管理委員會,桃園區大興西路一段321號,(86)桃縣建使字第00176號,088/05/14,'8800099410,'880088
黎子豪888號公寓管理負責人,桃園區大興西路一段325號10樓之1,(97)桃縣工建使字第桃00465號,097/06/03,'0970176924,'
祥龍居大廈,桃園區大興西路二段105、107號,(84)桃縣建使字第00369號,089/03/24,'8900057142,'890060
藝文大觀社區管理委員會,桃園區大興西路二段139巷105號,(98)桃縣工建使字第桃01086號,099/08/19,'0990324124,'990211
上城社區管理委員會,桃園區大興西路二段139巷111號,(97)桃縣工建使字第桃00683號,098/12/17,'0980496642,'980248
藍海18公寓大廈管理負責人,桃園區大興西路二段18號等,(97)桃縣工建使字第桃01609號,098/04/02,'0980122033,'
薇瓦第公寓大廈管理委員會,桃園區大興西路二段190巷15弄19號1樓,(87)桃縣工建使字第桃01079號,090/01/04,'9000001998,'900007
澄園社區,桃園區大興西路二段190巷17弄1號,(91)桃縣工建使字第桃00396號,091/11/08,'0910248115,'910137
亞曼尼公寓大廈管理委員會,桃園區大興西路二段200號,(92)桃縣工建使字第桃01641號,093/05/10,'0930113118,'930061
城品社區管理委員會,桃園區大興西路二段225號,(92)桃縣工建使字第桃00101號,092/08/05,'0920178291,'920091
大亨傳奇管理委員會,桃園區大興西路二段235巷31號1樓,(84)桃縣建使字第00268號,089/03/27,'8900058175,'890059
大興華廈社區大樓管理委員會,桃園區大興西路二段251號,(82)桃縣工建使字第00333號,085/11/21,'8500265273,'860068
大興敦煌管理委員會,桃園區大興西路二段269號B1樓,(84)桃縣建使字第00375號,086/10/27,'8600210910,'860289
淑圓社區管理負責人,桃園區大興西路二段290號等,(98)桃縣工建使字第桃00217號,100/08/23,'1000338519,'100172
大興大樓管理負責人黃雪霞,桃園區大興西路二段29號等,(96)桃縣工建使字第00268號,099/01/05,'0990002782,'099004
新洋房社區管理委員會,桃園區大興西路二段55號,(85)桃縣建使字第其00201號,087/02/20,'8700032161,'870034
企業家辦公大樓管理委員會,桃園區大興西路二段61~65號,(81)桃縣工建使字第00266-其號,086/12/31,'8600258225,'860352
企業家住宅管理委員會,桃園區大興西路二段67號(管理室),(81)桃縣工建使字第桃其266號,094/11/02,'094308493,'940205
紐約大時代社區管理委員會,桃園區大興西路二段69巷66號,(100)桃縣工建使字第桃00372號,101/06/06,'1010140117,'101101
國際金融廣場,桃園區大興西路二段6號,(80)桃縣建使字第00122號,085/10/16,'8500253059,'860016
禾豐寓庭管理負責人,桃園區大興里16鄰大興路179號,(97)桃縣工建使字第桃01823號,098/01/21,'0980033569,'
百川晶硯社區A區管理委員會,桃園區大興里18鄰民有十二街12號,(103)桃縣工建使字第桃00775號,103/12/23,'1030095887,'103284
百川晶硯社區B區管理委員會,桃園區大興里18鄰民有十二街21號,(103)桃縣工建使字第桃00776號,103/12/18,'1030094072,'103278
光合手札社區管理委員會,桃園區大興里18鄰民富十一街106號2樓,(102)桃縣工建使字第桃01488號,103/10/30,'1030080130,'103244
大業澄玉社區管理委員會,桃園區大興里2鄰大業路一段277號,(102)桃縣工建使字第桃01289號,103/05/23,'1030034522,'103118
雍河社區管理委員會,桃園區大興里4鄰民富九街118號3樓,(105)桃市都施使字第桃00051號,106/03/27,'1060016841,'106009
豐達ONE社區管理委員會,桃園區大興路118號,(104)桃市都建使字第桃00959號,105/04/12,'1050018749,'105009
耀時代社區管理委員會,桃園區大興路120巷21號,(104)桃縣工建使字第桃01127號,104/06/11,'1040033274,'104019
喜來華廈管理負責人,桃園區大興路130號,(97)桃縣工建使字第桃01990號,098/04/03,'0980124736,'
俊興大樓管理負責人,桃園區大興路132號等,(97)桃縣工建使字第桃01989號,098/04/02,'0980122489,'
互助華廈管理負責人,桃園區大興路151號,(97)桃縣工建使字第桃01274號,097/12/17,'0970428849,'
城市豪景第二期社區,桃園區大興路192巷4號,(84)桃縣建使字第00208號,086/08/25,'8600165689,'860232
城市豪景公寓大廈,桃園區大興路200-1號4樓,(83)桃縣工建使字第00040號,086/07/23,'8600142388,'860204
富德晶品管理委員會,桃園區大興路205-211號,(87)桃縣建使字第其00084號,091/05/29,'0910115143,'910047
台北檳城大興座管理委員會,桃園區大興路259號,(84)桃縣建使字第00245號,087/08/12,'8600029280,'860040
鴻築由心大廈管理委員會,桃園區大興路290巷8號,(102)桃縣工建使字第桃00398號,102/07/14,'1020201550,'102189
瑞來大廈管理負責人,桃園區大興路310號,(100)桃縣工建使字第桃00939號,100/12/20,'1000532228,'100251
綠意富春樂滿帝社區管理委員會,桃園區大興路316號,(96)桃縣工建使字第桃02063號,098/04/17,'0980144595,'980051
普鑼旺世社區管理委員會,桃園區大興路340號,(99)桃縣工建使字第桃00045號,100/04/15,'1000143335,'100078
萬錦順公寓大廈管理負責人,桃園區大豐里5鄰昆明路103號,(103)桃縣工建使字第桃00770號,103/12/02,'1030088981,'103270
公園世界社區,桃園區大豐路16-24號,(87)桃縣工建使字第桃00924號,088/01/08,'8700260509,'870267
百年富邑社區,桃園區大豐路60號等,(81)桃縣工建使字第00154號,096/08/27,'0960286218,'960178
溫莎公園城,桃園區大豐路68巷6弄11號4樓,(74)桃縣工建使字第00501號,086/11/27,'8600234200,'860318
理想家公寓大廈,桃園區大豐路73號,(88)桃縣工建使字第桃02049號,089/04/25,'8900078875,'890085
新站御庭苑大廈管理委員會,桃園區大豐路76-1號,(91)桃縣工建使字第桃01618號,092/04/28,'0920091496,'920043
豪門世家,桃園區中山北路201號等15戶,(90)桃縣工建使字第桃00154號,090/12/31,'9000265907,'910001
捷寶柏悅社區管理委員會,桃園區中山北路236號,(97)桃縣工建使字第桃00617號,099/11/24,'0990467600,'990280
藝術雙星社區,桃園區中山北路76-4號5樓,(78)桃縣建使字第00087號,093/04/26,'0930098836,'930050
和瑞大安社區管理委員會,桃園區中山里13鄰泰昌九街36號,(104)桃市工建使字第桃00329號,104/12/28,'1040076525,'104036
中山都匯社區管理委員會,桃園區中山里29鄰中山路791號 等,(104)桃市都建使字第桃00842號,107/01/02,'1060082336,'106035
廣萌大樓,桃園區中山東路21-29號,(81)桃縣建使字第00164號,087/03/31,'8700061532,'870063
美善公寓大廈管理委員會,桃園區中山東路219之2號,(90)桃縣工建使字第桃00972號,101/05/18,'1010123171,'101083
桃園第一廣場大樓管理委員會,桃園區中山東路51.55號,(80)桃縣建使字第00065號,086/04/30,'8600080158,'860127
中山東路名仕園大廈,桃園區中山東路70號7-1樓,(75)桃縣建使字第00072號,087/11/19,'8700235037,'870244
寶祥縣寶社區管理委員會,桃園區中山路1000號,(85)桃縣工建使字第0615號,086/01/14,'8600007547,'860123
翠堤春管理負責人,桃園區中山路1088號等,(78)桃縣工建使字第01170號,099/01/07,'0990008250,'099010
椰林特區公寓大廈管理委員會,桃園區中山路1216巷130號6樓,(96)桃縣工建使字第桃00537號,098/01/22,'0980029804,'098009
綠光大道水悅特區社區管理委員會,桃園區中山路1216巷90號,(96)桃縣工建使字第桃02001號,098/12/01,'0980472636,'980236
也翔中山大廈管理負責人,桃園區中山路1306號 等,(105)桃市都施使字第桃01299號,106/10/05,'1060061808,'106024
縣府清境社區管委會委員,桃園區中山路1308巷281號,(92)桃縣工建使字第桃01534號,094/07/27,'0940205735,'940122
諾貝爾11管理委員會,桃園區中山路1308巷322弄2號,(93)桃縣工建使字第桃02139號,094/12/08,'0940344212,'940238
鴻築微美社區管理委員會,桃園區中山路1308巷326~332號,(106)桃市都施使字第桃00263號,106/07/20,'1060043579,'106019
中山LV社區管理委員會,桃園區中山路1330之7號,(93)桃縣工建使字第桃01653號,096/01/09,'0960009882,'
嘉仕特國際商業大樓管理負責人,桃園區中山路203號1樓,(80)桃縣工建使字第00060號,106/01/18,'1060003884,'106002
信陽大樓聯合,桃園區中山路387號,(73)桃縣建使字第00056號,093/06/29,'0930162204,'930090
通商企業大樓,桃園區中山路425號3號,(70)桃縣建使字第00125號,092/04/14,'0920080488,'920038
瑞揚大樓管理負責人,桃園區中山路462號,(94)桃縣工建使字第桃02273號,095/02/24,'0950053176,'
瑞唐公寓大廈管理負責人,桃園區中山路466號等,(94)桃縣工建使字第桃02272號,095/04/13,'0950105567,'
都會商業,桃園區中山路486號,(81)桃縣建使字第00150號,092/06/20,'0920135524,'920065
市府雙星社區管理委員會,桃園區中山路507巷27號等,(104)桃市都建使字第桃00741號,105/06/06,'1050030657,'105015
時代通路廣場,桃園區中山路511號等,(90)桃縣工建使字第桃02029號,091/08/08,'0910171942,'910091
戀家社區管理委員會,桃園區中山路528號,(89)桃縣工建使字第00062號共2筆使照,095/06/27,'0950185911,'950125
中山天廈管理委員會,桃園區中山路535號(管理室),(85)桃縣工建使字第00184號,086/02/12,'8600025929,'860033
欣麗大廈管理委員會,桃園區中山路675號,(83)桃縣工建使字第00255號,104/06/01,'1040030567,'104016
集賢大樓社區管理委員會,桃園區中山路699號,(73)桃縣工建使字第桃00140號,101/10/04,'1010250808,'101199
桃園大賞公寓大廈管理委員會,桃園區中山路777號,(88)桃縣工建使字第桃02199號,090/08/21,'9000151950,'900087
縣府美學苑社區管理委員會,桃園區中山路788巷3號等,(95)桃縣工建使字第桃00130號,095/09/05,'0950262627,'950192
中山朝代,桃園區中山路800號,(79)桃縣建使字第00035號,090/05/28,'9000103033,'900060
新名人賞社區管理委員會,桃園區中山路847巷18號1樓,(89)桃縣工建使字第桃02007號,091/06/21,'0910133839,'910065
香格里拉P區公寓大廈,桃園區中山路847巷25號5樓,(86)桃縣建使字第00305號,087/07/23,'8700145912,'870155
新願社區管理委員會,桃園區中山路956巷156-170號,(104)桃市都建使字第桃01332號,105/06/24,'1050033837,'105018
名人儷宮公寓大廈,桃園區中央街157等,(72)桃縣建使字第00068號,092/08/21,'0920192185,'920096
豐釀社區二期管理委員會,桃園區中央街165號6樓,(94)桃縣工建使字第桃01515號,095/12/13,'0950376809,'095278
市中星NO.2社區,桃園區中平路132號6樓,(86)桃縣建使字第00288號,087/06/17,'8700118620,'870115
